"Plant","Lat","Long","Annual.mean.temperature...C.","Mean.diurnal.temperature.range..mean.period.max.min.....C.","Isothermality..Bio02...Bio07.","Temperature.seasonality..C.of.V.","Max.temperature.of.warmest.week...C.","Min.temperature.of.coldest.week...C.","Temperature.annual.range..Bio05.Bio06....C.","Mean.temperature.of.wettest.quarter...C.","Mean.temperature.of.driest.quarter...C.","Mean.temperature.of.warmest.quarter...C.","Mean.temperature.of.coldest.quarter...C.","Annual.precipitation..mm.","Precipitation.of.wettest.week..mm.","Precipitation.of.driest.week..mm.","Precipitation.seasonality..C.of.V.","Precipitation.of.wettest.quarter..mm.","Precipitation.of.driest.quarter..mm.","Precipitation.of.warmest.quarter..mm.","Precipitation.of.coldest.quarter..mm.","Annual.mean.radiation..W.m.2.","Highest.weekly.radiation..W.m.2.","Lowest.weekly.radiation..W.m.2","Radiation.seasonality..C.of.V.","Radiation.of.wettest.quarter..W.m.2.","Radiation.of.driest.quarter..W.m.2.","Radiation.of.warmest.quarter..W.m.2.","Radiation.of.coldest.quarter..W.m.2.","Annual.mean.moisture.index","Highest.weekly.moisture.index","Lowest.weekly.moisture.index","Moisture.index.seasonality..C.of.V.","Mean.moisture.index.of.wettest.quarter","Mean.moisture.index.of.driest.quarter","Mean.moisture.index.of.warmest.quarter","Mean.moisture.index.of.coldest.quarter","First.principal.component.of.the.first.35.Bioclim.variables","Second.principal.component.of.the.first.35.Bioclim.variables","Third.principal.component.of.the.first.35.Bioclim.variables","Fourth.principal.component.of.the.first.35.Bioclim.variables","Fifth.principal.component.of.the.first.35.Bioclim.variables"
"Chladophora",40.5143,115.8187,4.72658538818359,11.8349647521973,0.27417266368866,0.0414071790874004,24.9500007629395,-18.216100692749,43.1660995483398,18.5005569458008,-10.7278680801392,18.532693862915,-10.7278680801392,479.000030517578,29.5482006072998,0.916451990604401,0.976860880851746,298.915710449219,14.3520822525024,297.260101318359,14.3520822525024,156.239898681641,221.363006591797,86.2720031738281,0.2870072722435,197.542083740234,101.018280029297,200.929382324219,101.018280029297,0.504628419876099,0.957479000091553,0.280429005622864,0.438315749168396,0.845892906188965,0.293816149234772,0.754849791526794,0.321340918540955,-0.516596019268036,0.414065003395081,-0.852671980857849,1.00716304779053,-0.296882003545761
"Cratoneuron",40.5143,115.8187,4.72658538818359,11.8349647521973,0.27417266368866,0.0414071790874004,24.9500007629395,-18.216100692749,43.1660995483398,18.5005569458008,-10.7278680801392,18.532693862915,-10.7278680801392,479.000030517578,29.5482006072998,0.916451990604401,0.976860880851746,298.915710449219,14.3520822525024,297.260101318359,14.3520822525024,156.239898681641,221.363006591797,86.2720031738281,0.2870072722435,197.542083740234,101.018280029297,200.929382324219,101.018280029297,0.504628419876099,0.957479000091553,0.280429005622864,0.438315749168396,0.845892906188965,0.293816149234772,0.754849791526794,0.321340918540955,-0.516596019268036,0.414065003395081,-0.852671980857849,1.00716304779053,-0.296882003545761
"Pylaisiella",40.5147,115.8188,4.72658538818359,11.8349647521973,0.27417266368866,0.0414071790874004,24.9500007629395,-18.216100692749,43.1660995483398,18.5005569458008,-10.7278680801392,18.532693862915,-10.7278680801392,479.000030517578,29.5482006072998,0.916451990604401,0.976860880851746,298.915710449219,14.3520822525024,297.260101318359,14.3520822525024,156.239898681641,221.363006591797,86.2720031738281,0.2870072722435,197.542083740234,101.018280029297,200.929382324219,101.018280029297,0.504628419876099,0.957479000091553,0.280429005622864,0.438315749168396,0.845892906188965,0.293816149234772,0.754849791526794,0.321340918540955,-0.516596019268036,0.414065003395081,-0.852671980857849,1.00716304779053,-0.296882003545761
"Bryum",40.5146,115.8189,4.72658538818359,11.8349647521973,0.27417266368866,0.0414071790874004,24.9500007629395,-18.216100692749,43.1660995483398,18.5005569458008,-10.7278680801392,18.532693862915,-10.7278680801392,479.000030517578,29.5482006072998,0.916451990604401,0.976860880851746,298.915710449219,14.3520822525024,297.260101318359,14.3520822525024,156.239898681641,221.363006591797,86.2720031738281,0.2870072722435,197.542083740234,101.018280029297,200.929382324219,101.018280029297,0.504628419876099,0.957479000091553,0.280429005622864,0.438315749168396,0.845892906188965,0.293816149234772,0.754849791526794,0.321340918540955,-0.516596019268036,0.414065003395081,-0.852671980857849,1.00716304779053,-0.296882003545761
"Grimmia",40.515,115.8189,4.72658538818359,11.8349647521973,0.27417266368866,0.0414071790874004,24.9500007629395,-18.216100692749,43.1660995483398,18.5005569458008,-10.7278680801392,18.532693862915,-10.7278680801392,479.000030517578,29.5482006072998,0.916451990604401,0.976860880851746,298.915710449219,14.3520822525024,297.260101318359,14.3520822525024,156.239898681641,221.363006591797,86.2720031738281,0.2870072722435,197.542083740234,101.018280029297,200.929382324219,101.018280029297,0.504628419876099,0.957479000091553,0.280429005622864,0.438315749168396,0.845892906188965,0.293816149234772,0.754849791526794,0.321340918540955,-0.516596019268036,0.414065003395081,-0.852671980857849,1.00716304779053,-0.296882003545761
"Orchid",10.548,76.255,27.4116249084473,7.80584239959717,0.630861818790436,0.00415088748559356,34.5,22.1266994476318,12.3732995986938,26.254093170166,27.9549007415771,29.2741813659668,25.9667491912842,2899.99853515625,168.908996582031,0.495198994874954,0.946003615856171,1757.26379394531,38.5478820800781,303.870025634766,1666.59899902344,186.706253051758,237.080001831055,144.151992797852,0.14308026432991,160.928146362305,209.989456176758,222.993225097656,157.812927246094,1.17662918567657,2.53868007659912,0.214493006467819,0.630003571510315,2.19338607788086,0.269847840070724,0.610567152500153,2.12956118583679,0.243011996150017,5.08880090713501,-0.996154010295868,-0.291047006845474,5.63157415390015
"Pinus_flexilis",40.03,-105.53,-0.397145926952362,13.6800394058228,0.399811744689941,0.0262908264994621,18.2451992034912,-15.9709997177124,34.2162017822266,-1.85396194458008,0.112977124750614,9.16915893554688,-8.93958377838135,705.000122070312,17.1264991760254,9.93698978424072,0.144189789891243,207.177093505859,148.245513916016,185.837203979492,162.929000854492,143.878082275391,219.682006835938,68.5792999267578,0.361433863639832,164.881149291992,120.296455383301,204.236846923828,83.1940460205078,0.851948261260986,1.04659283161163,0.630877017974854,0.200413718819618,1.03297865390778,0.636960327625275,0.672117233276367,1.00511741638184,-0.0443670004606247,-0.349415987730026,1.01013994216919,-0.31937900185585,0.320268988609314
"Populus",50.52,-103.64,2.13051199913025,12.350172996521,0.255611449480057,0.0443403981626034,25.3838996887207,-22.932300567627,48.3162002563477,16.3828296661377,-13.0276069641113,16.7603778839111,-14.3578767776489,424.000091552734,16.3796005249023,3.67779994010925,0.508587300777435,183.770004272461,57.2802581787109,180.151397705078,57.6549606323242,127.094367980957,229.171005249023,34.1726989746094,0.541200757026672,215.888381958008,67.977912902832,210.177001953125,51.0214996337891,0.492558836936951,0.538241028785706,0.442191988229752,0.0553365275263786,0.525863528251648,0.464870393276215,0.474653005599976,0.519709169864655,-0.821842014789581,-0.52080100774765,0.406148999929428,1.32500600814819,0.114936001598835
"Solanum",-34.95,-58.13,16.3463649749756,9.86848926544189,0.434457689523697,0.0153856202960014,28.7644996643066,6.05000019073486,22.7145004272461,21.6817646026611,10.8506135940552,22.1732807159424,10.8302659988403,959.999877929688,25.4300003051758,12.3421001434326,0.187067285180092,285.233093261719,176.407699584961,277.121398925781,177.384704589844,162.94450378418,235.375,81.0503005981445,0.329002737998962,206.619689941406,100.326934814453,221.582763671875,96.8141555786133,0.926647305488586,1.03972578048706,0.639635026454926,0.142368122935295,1.02880799770355,0.713271975517273,0.714801609516144,1.01447641849518,0.459975987672806,-0.253663003444672,1.51234698295593,0.708406984806061,0.160341992974281
"Espeletia",4.87,-75.26,7.68309688568115,8.31171417236328,0.877599000930786,0.00058720528613776,12.3000001907349,2.82903003692627,9.47097015380859,7.52328634262085,7.62320899963379,7.84566497802734,7.4687557220459,2107,56.7005004882812,21.8295993804932,0.2530797123909,644.597595214844,360.645294189453,591.983276367188,596.695922851562,150.577941894531,165.990005493164,133.201995849609,0.0711552053689957,140.60807800293,159.929534912109,144.643692016602,141.293533325195,1.29529070854187,1.46279895305634,1.10284101963043,0.0816241204738617,1.38902568817139,1.1635365486145,1.34591937065125,1.35188126564026,1.26254594326019,0.556182980537415,2.34847807884216,-0.680501997470856,-1.69533002376556
